,Station,Max,Min,Rain
0,Dipayal,34.0,15.8,0.0
1,Dadeldhura,24.8,11.3,0.0
2,Dhangadi,34.5,20.2,0.0
3,Birendranagar,31.5,16.5,0.0
4,Nepalgunj,34.2,21.4,0.0
5,Jumla,23.6,11.5,0.0
6,Dang,33.0,17.0,0.0
7,Pokhara,31.2,18.5,0.0
8,Bhairahawa,36.4,21.6,0.0
9,Simara,35.4,20.0,0.0
10,Kathmandu,30.5,14.4,0.0
11,Okhaldhunga,27.2,16.6,0.0
12,Taplejung,27.0,13.8,0.0
13,Dhankuta,29.6,16.4,0.0
14,Biratnagar,34.0,22.0,0.0
15,Jomsom,19.0,8.5,0.0*
16,Lumle,24.5,14.5,0.0*
17,Jankapur,34.2,23.8,0.0*
18,Jiri,26.0,9.5,0.0*
